person_id,lastname,firstname,gender,pid
90001,Rygh,Aage,mann,NA
90002,Owe,Aage Willand,mann,NA
90003,Bjerkholt,Aase,kvinne,969
90004,Lionæs,Aase Wind,kvinne,1003
90005,Øen,Adolf Bjarne,mann,NA
90006,Stabell,Adolf Bredo,mann,NA
90007,Indrebø,Adolf Oliverson,mann,NA
90008,Nordengen,Albert Emil,mann,1228
90009,Ihlen,Alf,mann,NA
90010,Bjørnø,Alf Martin,mann,1383
90011,Midtbust,Alf,mann,NA
90012,Madsen,Alfred Martin,mann,1466
90013,Henningsen,Alfred Meyer,mann,1469
90014,Fostervoll,Alv Jakob,mann,1528
90015,Kjøs,Alv,mann,1529
90016,Sjaastad,Anders Christian,mann,1652
90017,Bøyum,Anders Johanneson,mann,1686
90018,Aune,Anders John,mann,1689
90019,Talleraas,Anders,mann,1766
90020,Rygg,Andreas,mann,NA
90021,Wormdahl,Andreas,mann,1929
90022,Cappelen,Andreas Zeier,mann,1931
90023,Øen,Anfin,mann,1980
90024,Aabakken,Ola,mann,NA
90025,Lahnstein,Anne Enger,kvinne,2430
90026,Vik,Anne Petrea,kvinne,NA
90027,Høegh,Annelise,kvinne,2927
90028,Ryen,Anton,mann,3052
90029,Skulberg,Anton,mann,3055
90030,Spilde,Arne Alsåker,mann,3203
90031,Arnesen,Arne,mann,NA
90032,Christiansen,Arne,mann,NA
90033,Kielland,Arne,mann,3382
90034,Magnussen,Arne,mann,3437
90035,Skaug,Arne,mann,NA
90036,Skauge,Arne,mann,3530
90037,Sunde,Arne Toralf,mann,NA
90038,Strøm,Arne Torolf,mann,3573
90039,Øien,Arne,mann,NA
90040,Norwich,Arnljot,mann,3700
90041,Weiberg-Aurdal,Arnold,mann,3747
90042,Hagen,Arnt Gudleik,mann,3766
90043,Mørland,Arnt Jacobsen,mann,3778
90044,Sundt,Arthur,mann,3851
90045,Johanson,Arvid Helmer,mann,3929
90046,Matheson,Arvid,mann,NA
90047,Holm,Asbjørn Antoni,mann,4014
90048,Haugstvedt,Asbjørn,mann,4047
90049,Lillås,Asbjørn,mann,4065
90050,Sjøthun,Asbjørn,mann,4090
90051,Magnus,Audun,mann,NA
90052,Røiseland,Bent,mann,5027
90053,Furre,Berge Ragnar,mann,5127
90054,Ås,Berit,kvinne,5313
90055,Ingvaldsen,Bernt,mann,5365
90056,Braadland,Birger,mann,5446
90057,Kildal,Birger,mann,5462
90058,Aall,Nils Frederik,mann,NA
90059,Flem,Bjarne,mann,5597
90060,Hurlen,Bjarne,mann,NA
90061,Mørk-Eidem,Bjarne,mann,5653
90062,Sæverud,Bjarne Peder Olai,mann,5665
90063,Robberstad,Bjarne,mann,NA
90064,Gjerde,Bjartmar,mann,5721
90065,Barth,Bjørn,mann,NA
90066,Ytterhorn,Bjørn Erling,mann,5971
90067,Kristvik,Bjørn,mann,NA
90068,Larsen,Bjørn,mann,NA
90069,Aalmo,John,mann,19524
90070,Bruland,Bjørn Rochmann,mann,NA
90071,Godal,Bjørn Tore,mann,6196
90072,Røyseland,Borghild,kvinne,6379
90073,Brun,Bue,mann,NA
90074,Torstensen,Carl Adolf,mann,NA
90075,Wright,Carl August Petersen,mann,6900
90076,Bjørge,Carl,mann,NA
90077,Hagen,Carl Ivar,mann,6921
90078,Hambro,Carl Joachim,mann,6924
90079,Ruge,Carl,mann,NA
90080,Stabel,Carl,mann,NA
90081,Michelet,Christian Fredrik,mann,NA
90082,Monsen,Christian Fredrik,mann,7153
90083,Hornsrud,Christopher Andersen,mann,7273
90084,Bryn,Dag Ramsøy,mann,NA
90085,Weberg,Dag Christopher,mann,7374
90086,Aarrestad,Unn,kvinne,40468
90087,Stenseth,Dagfinn,mann,NA
90088,Vårvik,Dagfinn,mann,7506
90089,Danielsen,Edvard Christian,mann,NA
90090,Grimstad,Edvard,mann,8311
